"id","message_id","from_address","received_at","attachment_name","processing_status","created_at"
1,<177639809697.27.11596357474505186610@longphu.vn>,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ<dathang@longphu.vn>,2026-03-01 10:39:23.000,BH26_0937.pdf,Success,2026-05-19 22:26:40.947 +0700
2,<177639809687.27.2053695854357871005@longphu.vn>,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ<dathang@longphu.vn>,2026-03-01 07:28:41.000,BH26_0935.pdf,Success,2026-05-19 22:26:40.948 +0700
3,<177639809696.27.1453607047024582931@longphu.vn>,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ<dathang@longphu.vn>,2026-03-01 01:01:22.000,BH26_0936.pdf,Success,2026-05-19 22:26:40.949 +0700
4,<177639809697.27.6670988768861278913@namtien.vn>,CÔNG TY CỔ PHẦN NAM TIẾN<dathang@namtien.vn>,2026-03-01 07:00:16.000,BH26_0938.pdf,Success,2026-05-19 22:26:40.950 +0700
5,<177639809698.27.14260593838171589262@taybac.vn>,HỘ KINH DOANH TÂY BẮC <dathang@taybac.vn>,2026-03-01 00:56:56.000,BH26_0941.pdf,Success,2026-05-19 22:26:41.042 +0700
6,<177639809699.27.7012091250016467664@dailoi.vn>,CỬA HÀNG XE ĐẠP ĐẠI LỢI<dathang@dailoi.vn>,2026-03-01 09:17:13.000,BH26_0942.pdf,Success,2026-05-19 22:26:41.074 +0700
7,<177639809698.27.1283066103397798384@quangvinh.vn>,HỘ KINH DOANH QUANG VINH <dathang@quangvinh.vn>,2026-03-01 07:52:42.000,BH26_0940.pdf,Success,2026-05-19 22:26:41.087 +0700
8,<177639809699.27.15777827095392894769@khaihoan.vn>,DOANH NGHIỆP TW KHẢI HOÀN<dathang@khaihoan.vn>,2026-03-01 01:47:33.000,BH26_0939.pdf,Success,2026-05-19 22:26:41.266 +0700
9,<177639809696.27.2302636251494628997@toanthang.vn>,CÔNG TY CỔ PHẦN TOÀN THẮNG<dathang@toanthang.vn>,2026-03-01 00:29:23.000,BH26_0948.pdf,Success,2026-05-19 22:26:42.914 +0700
10,<177639809694.27.14083980817542670947@daiduong.vn>,HỘ KINH DOANH ĐẠI DƯƠNG<dathang@daiduong.vn>,2026-03-01 02:30:59.000,BH26_0950.pdf,Success,2026-05-19 22:26:42.967 +0700
11,<177639809696.27.801519116549617023@toanthang.vn>,CÔNG TY CỔ PHẦN TOÀN THẮNG<dathang@toanthang.vn>,2026-03-01 09:12:36.000,BH26_0947.pdf,Success,2026-05-19 22:26:42.985 +0700
12,<177639809695.27.7008421793132065041@khaihoan.vn>,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN<dathang@khaihoan.vn>,2026-03-01 06:24:52.000,BH26_0949.pdf,Success,2026-05-19 22:26:42.987 +0700
13,<177639809700.27.12946299709363366021@dailoi.vn>,DOANH NGHIỆP TW ĐẠI LỢI <dathang@dailoi.vn>,2026-03-01 03:51:21.000,BH26_0945.pdf,Success,2026-05-19 22:26:43.011 +0700
14,<177639809700.27.6553587738384543240@vietanh.vn>,CÔNG TY CỔ PHẦN THƯƠNG MẠI VIỆT ANH<dathang@vietanh.vn>,2026-03-01 09:44:58.000,BH26_0944.pdf,Success,2026-05-19 22:26:43.019 +0700
15,<177639809701.27.1317143838265288107@vietanh.vn>,DOANH NGHIỆP TW VIỆT ANH<dathang@vietanh.vn>,2026-03-01 00:35:58.000,BH26_0946.pdf,Success,2026-05-19 22:26:43.022 +0700
16,<177639809699.27.15386621650891716399@vanloi.vn>,CÔNG TY TNHH VẠN LỢI <dathang@vanloi.vn>,2026-03-01 09:40:23.000,BH26_0943.pdf,Success,2026-05-19 22:26:43.060 +0700
17,<177639809693.27.16035760590688802187@yenbinh.vn>,CÔNG TY TNHH THƯƠNG MẠI YÊN BÌNH<dathang@yenbinh.vn>,2026-03-01 02:29:16.000,BH26_0953.pdf,Success,2026-05-19 22:26:44.092 +0700
18,<177639809694.27.5125821543982213238@dongnam.vn>,CÔNG TY TNHH ĐÔNG NAM <dathang@dongnam.vn>,2026-03-01 06:28:02.000,BH26_0951.pdf,Success,2026-05-19 22:26:44.115 +0700
19,<177639809693.27.8286444275301796832@mattroi.vn>,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI<dathang@mattroi.vn>,2026-03-01 04:48:46.000,BH26_0954.pdf,Success,2026-05-19 22:26:44.214 +0700
