"line_id","order_id","so_number","product_code","quantity","unit_price","line_total","created_at"
1,1,BH25.0001,"000214004000000",1.00,2305555.56,2305556.00,2026-05-19 22:11:27.114 +0700
2,2,BH25.0002,"000333002022000",1.00,3509259.26,3509259.00,2026-05-19 22:11:27.114 +0700
3,3,BH25.0003,"000224002004000",1.00,2398148.15,2398148.00,2026-05-19 22:11:27.114 +0700
4,4,BH25.0004,"000217003001000",5.00,2453703.70,12268519.00,2026-05-19 22:11:27.114 +0700
5,5,BH25.0005,"000217002007000",2.00,2212962.96,4425926.00,2026-05-19 22:11:27.114 +0700
6,6,BH25.0006,"000225002015000",11.00,1898148.00,20879628.00,2026-05-19 22:11:27.114 +0700
7,6,BH25.0006,"000226003015000",4.00,2037037.00,8148148.00,2026-05-19 22:11:27.114 +0700
8,7,BH25.0007,"000217003001000",5.00,1594907.41,7974537.00,2026-05-19 22:11:27.114 +0700
9,7,BH25.0007,"000226003015000",2.00,1685185.19,3370370.00,2026-05-19 22:11:27.114 +0700
10,7,BH25.0007,"000225002004000",28.00,1618981.48,45331481.00,2026-05-19 22:11:27.114 +0700
11,7,BH25.0007,"000224002004000",13.00,1558796.30,20264352.00,2026-05-19 22:11:27.114 +0700
12,7,BH25.0007,"000214004000000",6.00,1498611.11,8991667.00,2026-05-19 22:11:27.114 +0700
13,7,BH25.0007,"000331002004000",17.00,1799537.04,30592130.00,2026-05-19 22:11:27.114 +0700
14,7,BH25.0007,"1030010000080000",3.00,1289814.81,3869444.00,2026-05-19 22:11:27.114 +0700
15,7,BH25.0007,"000131002007000",15.00,1197685.19,17965278.00,2026-05-19 22:11:27.114 +0700
16,7,BH25.0007,"000401002016002",36.00,1516666.67,54600000.00,2026-05-19 22:11:27.114 +0700
17,7,BH25.0007,"000207004000000",5.00,1498611.11,7493056.00,2026-05-19 22:11:27.114 +0700
18,7,BH25.0007,"1000300050010000",16.00,2943055.56,47088889.00,2026-05-19 22:11:27.114 +0700
19,8,BH25.0008,"000224002004000",20.00,2222222.22,44444444.00,2026-05-19 22:11:27.114 +0700
20,9,BH25.0009,"000218004005000",2.00,3324074.07,6648148.00,2026-05-19 22:11:27.114 +0700
21,10,BH25.0010,"1000270020150000",3.00,500000.00,1500000.00,2026-05-19 22:11:27.114 +0700
